,v_id,v_name,v_dist,v_cat
313,4f0c3503e4b0497598540065,Spanish restaurant,852,Spanish Restaurant
314,4e4de628bd4101d0d79dae60,Sell Off Restaurant,942,Indian Restaurant
315,4f2c88c0e4b067066c351756,The Pyramid Bar & Restaurant,888,Other Nightlife
316,4e4de610bd4101d0d79dabd7,Sweet Pot Jamaican Restaurant,1016,Caribbean Restaurant
317,4c0d75d37189c928500bd7b6,Mandarin Wok,1078,Chinese Restaurant
318,4c7937d6bd346dcbd88df4ef,Food Hut,1017,Caribbean Restaurant
319,4d93c7178deb8cfaacb231c0,Jerry's Pizza,880,Pizza Place
320,4be2ecf6b02ec9b6a5064ec0,Caridad & Louie,196,Spanish Restaurant
321,4cd1dfb17b6854812887c9f8,No. 1 Chinese Restaurant,655,Chinese Restaurant
322,4bba4eeeb35776b0edc4ca01,Nicks Pizza,955,Pizza Place
323,4cb65dc78db0a1435da06916,Memories Lounge & Restaurant,794,Lounge
324,4ee799918b81381c2a21569e,C&C Coffee Shop & Deli,820,Spanish Restaurant
325,4c76709fdb52b1f77c637bdc,C&C Deli And Coffee Shop And Pastry,814,Café
326,4bb0ebe3f964a5205c6a3ce3,Applebee's Grill + Bar,788,American Restaurant
